Word,Meaning,HitCount
cat,macska,0
chicken,csirke,0
cock,kakas,0
cow,tehén,0
duck,kacsa,0
dog,kutya,0
donkey,szamár,0
hen,tyúk,0
goat,kecske,0
goose,liba,0
horse,ló,0
pig,malac,0
ram,kos,0
sheep,bárány,0
hamster,hörcsög,0
rabbit,nyúl,0
turkey,pulyka,0
frog,béka,0
snake,kígyó,0
lizard,gyík,0
worm,giliszta,0
parrot,papagáj,0
swan,hattyú,0
dolphin,delfin,0
jellyfish,medúza,0
seal,fóka,0
shark,cápa,0
whale,bálna,0
bee,méh,0
bear,medve,0
